name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
The Fisherman's Wharf,Casual Dining,"304, Puppalaguda, Financial District,ISB - Outer Ring Road, Gachibowli, Hyderabad",Hyderabad,Gachibowli,17.41092667,78.33190531,"Gachibowli, Hyderabad","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",1500,3,"Dinner', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Fullbar', 'Live Music', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Wifi', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Wheelchair Accessible', 'Brunch",4.5,Excellent,2635,2560,1,-1
China Bistro,Casual Dining,"1st Floor, Signature Towers, Opposite Botanical Garden, Kondapur, Hyderabad",Hyderabad,Kondapur,17.45519464,78.36461719,"Kondapur, Hyderabad","Chinese, Thai, Asian, Japanese","12noon to 3:30pm, 7pm to 12midnight (Mon-Sun)",1600,3,"Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Fullbar', 'Table booking recommended', 'Buffet', 'Indoor Seating', 'Air Conditioned",4.6,Excellent,416,542,-1,-1
Shah Ghouse Cafe & Restaurant,Casual Dining,"Opposite SA Imperial Gardens, Near RTA Office, Salarjung Colony, Tolichowki, Hyderabad",Hyderabad,Tolichowki,17.39629926,78.42493102,"Tolichowki, Hyderabad","Biryani, North Indian, Chinese, Seafood",5 AM to 1 AM,600,2,"Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Air Conditioned",4.2,Very Good,7844,617,-1,-1
Lucky Restaurant,Casual Dining,"Alkapuri X Road, Inner Ring Road, Sai Nagar, Nagole, Hyderabad",Hyderabad,Nagole,17.36568564,78.55741447,"Nagole, Hyderabad","Biryani, North Indian, Chinese",12 Noon to 11 PM,600,2,"No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Sneakpeek', 'Indoor Seating",4.3,Very Good,11045,174,1,-1
Raja Rani Ruchulu,Casual Dining,"Beside V V Statue, Opposite Ramdevrao Hospital, NH 9 Highway Road, Metro Pillar KPH 21, Vivekanad Nagar Colony, Kukatpally, Hyderabad",Hyderabad,Kukatpally,17.49107237,78.40748258,"Kukatpally, Hyderabad","South Indian, Chinese, North Indian, Biryani",12 Noon to 11 PM,600,2,"Lunch', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required",4,Very Good,1521,47,1,-1
Imperial Multi Cuisine Restaurant,Casual Dining,"Opposite HP Petrol Pump, Saidabad X Roads, Hyderabad",Hyderabad,Saroor Nagar,17.36321314,78.50326359,"Saroor Nagar, Hyderabad","Continental, Seafood, Biryani",6am to 12midnight (Mon-Sun),700,2,"Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Air Conditioned",4.2,Very Good,1463,95,1,-1
Broadway,Microbrewery,"Plot 1017, Road 46/A, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.429147,78.403548,"Jubilee Hills, Hyderabad","Continental, North Indian, Chinese","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",1600,3,"Lunch', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Serves Alcohol', 'DJ', 'Live Entertainment', 'Craft Beer', 'Wine', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Free Parking', 'Nightlife', 'Fullbar', 'Beer', 'Indoor Seating",4.5,Excellent,1186,1366,-1,-1
Mehfil Restaurant,Casual Dining,"Nizampet X road, KPHB, Nizampet, Hyderabad",Hyderabad,Nizampet,17.49873112,78.39000229,"Nizampet, Hyderabad","Biryani, North Indian, Chinese",11 AM to 11 PM,700,2,"Cash', 'Takeaway Available', 'Lunch', 'Dinner', 'Delivery', 'No Alcohol Available', 'Air Conditioned', 'Indoor Seating', 'Table Reservation Not Required",4.1,Very Good,1763,35,1,-1
Over The Moon Brew Company,Microbrewery,"Plot B 2, Survey  6/1, Quiet Lands, Gachibowli, Hyderabad",Hyderabad,Gachibowli,17.44020645,78.36203791,"Gachibowli, Hyderabad","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1200,3,"Takeaway Available', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Smoking Area', 'Brunch', 'Free Parking', 'Nightlife', 'Fullbar', 'Live Music', 'Free Wifi', 'Restricted Entry', 'Live Entertainment', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table reservation required', 'Air Conditioned",4.6,Excellent,2570,2303,-1,-1
Sahib’s Barbeque by Ohri’s,Casual Dining,"Ohris Cyber Grub, Plot 4/1 & 4/2, 64, Huda Techno Enclave, Mind Space Centre, Madhapur",Hyderabad,Hitech City,17.44140338,78.37621607,"Hitech City, Hyderabad","Hyderabadi, Awadhi, BBQ","12noon to 3:30pm, 7pm to 11:30pm (Mon-Sun)",1400,3,"No Alcohol Available', 'Dinner', 'Cash', 'Lunch', 'Credit Card', 'Debit Card', 'Lunch Menu', 'Buffet', 'Indoor Seating', 'Air Conditioned",4.9,Excellent,6473,3794,-1,-1
Green Bawarchi,Casual Dining,"Opposite Main Bus Stand, Sharada Nagar, Dilsukhnagar, Hyderabad",Hyderabad,Dilsukhnagar,17.36807033,78.52562785,"Dilsukhnagar, Hyderabad","North Indian, Chinese, Biryani",11 AM to 12 Midnight,550,2,"Lunch', 'Cash', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Sneakpeek', 'Table Reservation Not Required",3.7,Good,6660,29,1,-1
SodaBottleOpenerWala,Casual Dining,"Unit 4, Ground Floor, Niharika Jubilee 1, Road 1, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.4225616,78.41099594,"Jubilee Hills, Hyderabad","Parsi, Hyderabadi","11:30 AM to 11:30 PM (Mon-Thu, Sun), 11:30 AM to 1 AM (Fri-Sat)",1400,3,"Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Wheelchair Accessible', 'Valet Parking Available', 'Outdoor Seating', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Smoking Area', 'Wifi",4.5,Excellent,2678,3594,1,-1
Mehfil,Casual Dining,"Chikkadpalli Road, Near Narayanguda Flyover, Narayanguda, Hyderabad",Hyderabad,Narayanguda,17.39859066,78.49354226,"Narayanguda, Hyderabad","Biryani, North Indian, Chinese",12 Noon to 11 PM,700,2,"Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned",4.4,Very Good,4275,118,1,-1
